areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,2021-03-30,257
K02000001,United Kingdom,overview,2021-03-29,251
K02000001,United Kingdom,overview,2021-03-28,272
K02000001,United Kingdom,overview,2021-03-27,273
K02000001,United Kingdom,overview,2021-03-26,298
K02000001,United Kingdom,overview,2021-03-25,340
K02000001,United Kingdom,overview,2021-03-24,349
K02000001,United Kingdom,overview,2021-03-23,368
K02000001,United Kingdom,overview,2021-03-22,361
K02000001,United Kingdom,overview,2021-03-21,358
K02000001,United Kingdom,overview,2021-03-20,364
K02000001,United Kingdom,overview,2021-03-19,381
K02000001,United Kingdom,overview,2021-03-18,451
K02000001,United Kingdom,overview,2021-03-17,446
K02000001,United Kingdom,overview,2021-03-16,441
K02000001,United Kingdom,overview,2021-03-15,503
K02000001,United Kingdom,overview,2021-03-14,428
K02000001,United Kingdom,overview,2021-03-13,462
K02000001,United Kingdom,overview,2021-03-12,482
K02000001,United Kingdom,overview,2021-03-11,550
K02000001,United Kingdom,overview,2021-03-10,567
K02000001,United Kingdom,overview,2021-03-09,579
K02000001,United Kingdom,overview,2021-03-08,577
K02000001,United Kingdom,overview,2021-03-07,535
K02000001,United Kingdom,overview,2021-03-06,638
K02000001,United Kingdom,overview,2021-03-05,599
K02000001,United Kingdom,overview,2021-03-04,705
K02000001,United Kingdom,overview,2021-03-03,713
K02000001,United Kingdom,overview,2021-03-02,834
K02000001,United Kingdom,overview,2021-03-01,823
K02000001,United Kingdom,overview,2021-02-28,770
K02000001,United Kingdom,overview,2021-02-27,742
K02000001,United Kingdom,overview,2021-02-26,864
K02000001,United Kingdom,overview,2021-02-25,969
K02000001,United Kingdom,overview,2021-02-24,1022
K02000001,United Kingdom,overview,2021-02-23,1121
K02000001,United Kingdom,overview,2021-02-22,1120
K02000001,United Kingdom,overview,2021-02-21,1158
K02000001,United Kingdom,overview,2021-02-20,1094
K02000001,United Kingdom,overview,2021-02-19,1274
K02000001,United Kingdom,overview,2021-02-18,1338
K02000001,United Kingdom,overview,2021-02-17,1412
K02000001,United Kingdom,overview,2021-02-16,1495
K02000001,United Kingdom,overview,2021-02-15,1506
K02000001,United Kingdom,overview,2021-02-14,1535
K02000001,United Kingdom,overview,2021-02-13,1427
K02000001,United Kingdom,overview,2021-02-12,1510
K02000001,United Kingdom,overview,2021-02-11,1680
K02000001,United Kingdom,overview,2021-02-10,1725
K02000001,United Kingdom,overview,2021-02-09,1755
K02000001,United Kingdom,overview,2021-02-08,1921
K02000001,United Kingdom,overview,2021-02-07,1851
K02000001,United Kingdom,overview,2021-02-06,1894
K02000001,United Kingdom,overview,2021-02-05,2006
K02000001,United Kingdom,overview,2021-02-04,2142
K02000001,United Kingdom,overview,2021-02-03,2360
K02000001,United Kingdom,overview,2021-02-02,2484
K02000001,United Kingdom,overview,2021-02-01,2602
K02000001,United Kingdom,overview,2021-01-31,2409
K02000001,United Kingdom,overview,2021-01-30,2470
K02000001,United Kingdom,overview,2021-01-29,2687
