areaCode,areaName,areaType,date,covidOccupiedMVBeds
K02000001,United Kingdom,overview,19/04/2021,318
K02000001,United Kingdom,overview,18/04/2021,311
K02000001,United Kingdom,overview,17/04/2021,323
K02000001,United Kingdom,overview,16/04/2021,332
K02000001,United Kingdom,overview,15/04/2021,329
K02000001,United Kingdom,overview,14/04/2021,351
K02000001,United Kingdom,overview,13/04/2021,370
K02000001,United Kingdom,overview,12/04/2021,377
K02000001,United Kingdom,overview,11/04/2021,385
K02000001,United Kingdom,overview,10/04/2021,385
K02000001,United Kingdom,overview,09/04/2021,405
K02000001,United Kingdom,overview,08/04/2021,421
K02000001,United Kingdom,overview,07/04/2021,440
K02000001,United Kingdom,overview,06/04/2021,453
K02000001,United Kingdom,overview,05/04/2021,461
K02000001,United Kingdom,overview,04/04/2021,469
K02000001,United Kingdom,overview,03/04/2021,478
K02000001,United Kingdom,overview,02/04/2021,485
K02000001,United Kingdom,overview,01/04/2021,517
K02000001,United Kingdom,overview,31/03/2021,547
K02000001,United Kingdom,overview,30/03/2021,568
K02000001,United Kingdom,overview,29/03/2021,583
K02000001,United Kingdom,overview,28/03/2021,582
K02000001,United Kingdom,overview,27/03/2021,594
K02000001,United Kingdom,overview,26/03/2021,615
K02000001,United Kingdom,overview,25/03/2021,630
K02000001,United Kingdom,overview,24/03/2021,682
K02000001,United Kingdom,overview,23/03/2021,711
K02000001,United Kingdom,overview,22/03/2021,748
K02000001,United Kingdom,overview,21/03/2021,768
K02000001,United Kingdom,overview,20/03/2021,787
K02000001,United Kingdom,overview,19/03/2021,830
K02000001,United Kingdom,overview,18/03/2021,879
K02000001,United Kingdom,overview,17/03/2021,925
K02000001,United Kingdom,overview,16/03/2021,968
K02000001,United Kingdom,overview,15/03/2021,1016
K02000001,United Kingdom,overview,14/03/2021,1049
K02000001,United Kingdom,overview,13/03/2021,1087
K02000001,United Kingdom,overview,12/03/2021,1110
K02000001,United Kingdom,overview,11/03/2021,1192
K02000001,United Kingdom,overview,10/03/2021,1236
K02000001,United Kingdom,overview,09/03/2021,1292
K02000001,United Kingdom,overview,08/03/2021,1356
K02000001,United Kingdom,overview,07/03/2021,1394
K02000001,United Kingdom,overview,06/03/2021,1449
K02000001,United Kingdom,overview,05/03/2021,1542
K02000001,United Kingdom,overview,04/03/2021,1589
K02000001,United Kingdom,overview,03/03/2021,1647
K02000001,United Kingdom,overview,02/03/2021,1709
K02000001,United Kingdom,overview,01/03/2021,1806
K02000001,United Kingdom,overview,28/02/2021,1783
K02000001,United Kingdom,overview,27/02/2021,1903
K02000001,United Kingdom,overview,26/02/2021,1971
K02000001,United Kingdom,overview,25/02/2021,2047
K02000001,United Kingdom,overview,24/02/2021,2118
K02000001,United Kingdom,overview,23/02/2021,2149
K02000001,United Kingdom,overview,22/02/2021,2273
K02000001,United Kingdom,overview,21/02/2021,2329
K02000001,United Kingdom,overview,20/02/2021,2358
K02000001,United Kingdom,overview,19/02/2021,2469
K02000001,United Kingdom,overview,18/02/2021,2535
K02000001,United Kingdom,overview,17/02/2021,2614
K02000001,United Kingdom,overview,16/02/2021,2708
K02000001,United Kingdom,overview,15/02/2021,2805
K02000001,United Kingdom,overview,14/02/2021,2851
K02000001,United Kingdom,overview,13/02/2021,2842
K02000001,United Kingdom,overview,12/02/2021,2943
K02000001,United Kingdom,overview,11/02/2021,3036
K02000001,United Kingdom,overview,10/02/2021,3132
K02000001,United Kingdom,overview,09/02/2021,3164
K02000001,United Kingdom,overview,08/02/2021,3230
K02000001,United Kingdom,overview,07/02/2021,3302
K02000001,United Kingdom,overview,06/02/2021,3373
K02000001,United Kingdom,overview,05/02/2021,3505
K02000001,United Kingdom,overview,04/02/2021,3572
K02000001,United Kingdom,overview,03/02/2021,3628
K02000001,United Kingdom,overview,02/02/2021,3635
K02000001,United Kingdom,overview,01/02/2021,3726
K02000001,United Kingdom,overview,31/01/2021,3687
K02000001,United Kingdom,overview,30/01/2021,3806
